cycle_length,min_distance,net
4,0.090000,43
12,0.030000,44
12,0.030000,44
12,0.030000,44
12,0.030000,44
12,0.030000,44
4,0.040000,44
8,0.010000,45
8,0.010000,45
8,0.050000,45
8,0.040000,45
8,0.010000,45
8,0.060000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
4,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
8,0.010000,45
30,0.040000,47
22,0.040000,47
6,0.010000,49
3,0.020000,49
6,0.010000,49
3,0.010000,49
6,0.020000,49
1,0.020000,49
6,0.020000,49
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
6,0.010000,50
6,0.020000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.020000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
6,0.010000,50
12,0.020000,50
12,0.010000,50
6,0.020000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
12,0.010000,50
6,0.010000,50
12,0.010000,50
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
14,0.020000,51
2,0.020000,51
4,0.110000,52
4,0.110000,52
9,0.020000,53
3,0.020000,53
4,0.010000,54
10,0.010000,54
10,0.010000,54
4,0.010000,54
4,0.010000,54
4,0.010000,54
4,0.020000,54
10,0.020000,54
2,0.010000,54
2,0.010000,54
19,0.010000,55
19,0.020000,55
19,0.010000,55
19,0.010000,55
19,0.020000,55
19,0.010000,55
19,0.010000,55
19,0.010000,55
5,0.050000,56
5,0.060000,56
5,0.050000,56
4,0.030000,56
5,0.070000,56
5,0.030000,56
5,0.030000,56
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.040000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
12,0.010000,57
6,0.030000,58
2,0.010000,58
6,0.030000,58
6,0.030000,58
6,0.030000,58
2,0.010000,58
2,0.030000,58
10,0.010000,59
10,0.010000,59
10,0.010000,59
10,0.010000,59
10,0.010000,59
5,0.060000,59
10,0.010000,59
10,0.010000,59
1,0.060000,60
2,0.060000,60
1,0.090000,60
2,0.080000,60
16,0.010000,61
16,0.010000,61
16,0.010000,61
16,0.010000,61
16,0.010000,61
2,0.010000,63
2,0.020000,63
2,0.010000,63
1,0.020000,65
4,0.020000,65
4,0.020000,65
4,0.020000,65
2,0.020000,65
233,0.020000,66
70,0.030000,66
203,0.030000,66
3,0.030000,66
78,0.020000,66
12,0.060000,68
12,0.020000,68
24,0.010000,68
24,0.010000,68
12,0.040000,68
12,0.010000,68
12,0.010000,68
24,0.010000,68
12,0.010000,68
12,0.050000,68
12,0.010000,68
12,0.010000,68
12,0.020000,68
11,0.060000,68
12,0.010000,68
24,0.010000,68
24,0.060000,68
4,0.050000,68
12,0.060000,68
12,0.050000,68
24,0.040000,68
12,0.010000,68
24,0.040000,68
12,0.010000,68
24,0.010000,68
24,0.010000,68
12,0.010000,68
24,0.010000,68
24,0.010000,68
12,0.040000,68
4,0.010000,69
4,0.010000,69
12,0.010000,69
12,0.010000,69
126,0.010000,71
117,0.010000,71
99,0.010000,71
126,0.010000,71
159,0.010000,71
396,0.010000,71
207,0.010000,71
45,0.010000,71
414,0.010000,71
54,0.020000,71
45,0.010000,71
423,0.010000,71
162,0.010000,71
84,0.010000,71
14,0.010000,72
14,0.010000,72
1,0.070000,72
14,0.010000,72
14,0.010000,72
2,0.010000,72
2,0.020000,72
14,0.010000,72
14,0.010000,72
14,0.010000,72
14,0.010000,72
2,0.040000,72
14,0.010000,72
14,0.010000,72
14,0.010000,72
1,0.060000,72
14,0.010000,72
14,0.010000,72
14,0.010000,72
14,0.010000,72
25,0.020000,73
23,0.060000,73
77,0.020000,73
12,0.020000,74
12,0.030000,74
12,0.020000,74
1,0.110000,74
4,0.030000,74
4,0.030000,74
12,0.020000,74
12,0.020000,74
12,0.020000,74
8,0.020000,75
8,0.020000,75
8,0.050000,75
8,0.020000,75
4,0.020000,75
8,0.020000,75
8,0.020000,75
4,0.010000,76
4,0.010000,76
5,0.020000,78
3,0.010000,78
15,0.020000,78
5,0.010000,78
15,0.010000,78
3,0.010000,78
15,0.010000,78
15,0.010000,78
5,0.010000,78
15,0.010000,78
1,0.010000,78
3,0.010000,78
5,0.010000,78
5,0.010000,78
1,0.020000,78
3,0.010000,78
1,0.010000,78
15,0.010000,78
12,0.020000,81
12,0.020000,81
4,0.010000,81
4,0.010000,81
12,0.010000,81
12,0.010000,81
12,0.010000,81
12,0.010000,81
4,0.010000,81
12,0.010000,81
12,0.020000,81
4,0.030000,81
4,0.010000,81
12,0.020000,81
12,0.020000,81
12,0.010000,81
12,0.010000,81
12,0.010000,81
12,0.020000,81
12,0.020000,81
4,0.020000,81
12,0.020000,81
12,0.010000,81
12,0.020000,81
12,0.010000,81
4,0.020000,81
12,0.020000,81
12,0.010000,81
20,0.010000,82
20,0.010000,82
20,0.010000,82
20,0.010000,82
20,0.010000,82
20,0.010000,82
20,0.010000,82
1,0.030000,83
1,0.030000,83
2,0.010000,84
2,0.010000,84
2,0.010000,84
2,0.010000,84
2,0.020000,85
6,0.020000,85
2,0.020000,85
6,0.020000,85
31,0.080000,86
62,0.050000,86
1,0.080000,86
2,0.050000,86
31,0.090000,86
4,0.040000,87
4,0.040000,87
1,0.240000,88
1,0.240000,88
4,0.010000,89
4,0.010000,89
4,0.010000,89
40,0.010000,91
1533,0.010000,91
20,0.010000,91
40,0.010000,91
20,0.010000,91
20,0.010000,91
511,0.010000,91
2,0.090000,91
20,0.010000,91
40,0.010000,91
40,0.010000,91
40,0.010000,91
20,0.030000,91
2,0.110000,91
2,0.100000,91
40,0.010000,91
20,0.010000,91
40,0.010000,91
40,0.010000,91
4,0.010000,92
4,0.010000,92
4,0.010000,92
4,0.010000,92
4,0.010000,92
4,0.010000,92
4,0.040000,92
24,0.020000,94
12,0.030000,94
12,0.020000,94
13,0.050000,94
28,0.010000,95
20,0.010000,95
4,0.010000,95
20,0.010000,95
4,0.010000,95
20,0.010000,95
28,0.010000,95
20,0.010000,95
20,0.010000,95
20,0.010000,95
20,0.020000,95
4,0.010000,96
7,0.050000,96
28,0.010000,96
4,0.040000,96
4,0.070000,96
16,0.040000,96
4,0.100000,96
6,0.010000,98
2,0.010000,98
6,0.100000,99
2,0.090000,99
6,0.090000,99
2,0.100000,99
14,0.020000,100
2,0.020000,100
14,0.020000,100
14,0.020000,100
14,0.020000,100
14,0.020000,100
14,0.020000,100
14,0.020000,100
14,0.020000,100
