unique_cycles,msr
8,0
16,0
11,0
15,0
0,50
5,6
2,14
5,42
4,0
24,0
3,0
15,0
4,36
4,35
1,0
36,0
0,50
10,0
0,50
0,50
8,0
15,0
0,50
5,0
0,50
1,0
33,0
25,0
5,7
11,0
18,0
0,50
0,50
10,0
3,0
0,50
3,0
6,11
