unique_cycles,msr
8,0
16,0
11,0
15,0
0,50
5,6
2,14
5,42
4,0
24,0
3,0
15,0
4,36
4,35
1,0
36,0
0,50
10,0
0,50
0,50
8,0
15,0
0,50
5,0
0,50
1,0
33,0
25,0
5,7
11,0
18,0
0,50
0,50
10,0
3,0
0,50
3,0
6,11
0,50
1,0
0,50
3,47
1,0
5,0
0,50
6,0
0,50
0,50
26,0
5,0
0,50
5,0
0,50
37,0
6,0
7,0
3,0
2,0
1,49
23,0
3,0
5,0
0,50
8,15
3,0
9,0
3,0
1,45
0,50
3,39
3,6
33,0
7,0
39,0
4,0
4,0
0,50
0,50
2,0
32,0
1,0
0,50
0,50
1,48
1,0
3,39
22,0
3,0
0,50
5,0
2,48
8,0
6,0
11,0
8,0
13,0
14,0
3,1
0,50
2,0
