231861,1482,0,2541,11052,5023,0,0,0,495,0,1531,53,0,0
2168,316319,567,390,1731,639,202,0,0,0,0,12849,0,23,0
0,230,174832,0,0,0,4042,1312,159,2111,286,23,75,7112,295
1733,131,0,21972,938,470,0,0,0,64,0,186,0,0,0
3117,537,0,953,62675,1986,0,0,0,133,0,324,0,0,0
4675,1192,0,1523,6203,115549,0,0,0,288,0,262,0,0,0
0,106,3889,0,0,0,53636,64,252,821,17,46,61,1262,61
0,0,2901,0,0,0,232,18511,0,276,0,0,26,334,3
0,0,875,0,0,0,364,0,11032,146,2,0,53,124,1
0,0,73,0,0,0,9,0,143,15189,19,0,281,3,0
0,0,30,0,1,23,5,0,0,769,8149,0,183,115,1
173,896,0,1,140,38,0,0,0,0,0,20240,0,56,0
32,0,166,0,24,0,13,10,0,1946,326,0,19380,153,0
0,0,1569,0,0,0,340,11,0,163,0,56,170,20010,34
0,0,1614,0,0,0,323,52,0,223,0,0,5,848,19147
