1936,1,103,46,0,0,1,1,0,53,29,0,0,0,4,0,0,25,0,0
1,1934,44,52,1,54,1,0,2,26,0,0,26,0,0,47,2,49,0,0
105,43,1935,0,28,0,46,0,0,0,1,0,0,0,0,2,26,1,52,0
44,51,0,1933,49,0,0,55,0,2,1,1,0,0,71,3,0,0,0,0
0,1,24,51,1949,0,0,1,0,44,100,0,1,4,0,0,0,0,0,0
0,50,0,0,1,1940,72,47,76,1,0,48,0,0,0,0,47,2,1,1
0,1,45,0,0,72,1940,2,2,55,0,0,52,0,0,0,1,49,0,0
1,0,0,52,2,46,1,1935,0,25,50,3,25,0,2,49,0,0,0,0
0,3,0,0,1,79,1,0,1936,47,44,0,47,0,2,0,1,0,0,0
44,25,0,2,43,2,55,26,47,1942,0,0,0,0,57,1,0,0,0,0
24,0,0,2,104,0,0,53,43,1,1934,25,1,54,46,5,0,0,0,0
0,0,0,1,0,50,0,1,1,0,26,1932,54,1,1,49,2,24,0,51
0,25,0,2,1,1,54,26,48,0,1,50,1932,0,51,1,50,4,0,0
0,0,0,0,1,0,0,0,2,0,49,4,0,644,0,0,0,0,0,8
0,1,0,71,1,0,0,5,2,56,47,3,52,0,1928,74,0,0,0,0
0,50,0,2,0,0,0,52,0,0,1,50,2,0,74,1925,52,0,0,0
0,1,25,0,0,50,2,0,0,0,0,1,48,1,0,51,1932,104,0,48
26,51,0,0,0,2,51,0,1,1,0,28,2,0,0,0,98,1935,46,0
0,0,50,0,1,0,0,0,0,0,0,0,0,0,0,0,1,44,650,9
0,0,0,0,0,2,0,0,0,0,0,48,0,9,0,0,51,0,8,645
